class_id,class_name,course_title,attendance,participation,recitation,presentation,project,midterm1,midterm2,midterm3,finals,assignments,quizzes,assignments_count,quizzes_count,class_time,class_days,lecturer_id,lecturer_name,lecturer_email,lecturer_office_hours,lecturer_office,lecturer_phone,ta_count,ta_id,ta_name,ta_email,ta_office_hours,ta_office
205051870,POL 101,World Politics,6,4,2,4,15,10,10,10,14,10,15,9,10,02:06 PM,"Wednesday, Friday, Tuesday",111434569,Sean Perez,sean.perez@stonybrook.edu,Wednesday 10 AM-12 PM,Office A,318-742-9673x75664,2,116502306,Emma Whitaker,emma.whitaker@stonybrook.edu,Monday 2-4 PM,Office B
205051870,POL 101,World Politics,6,4,2,4,15,10,10,10,14,10,15,9,10,02:06 PM,"Wednesday, Friday, Tuesday",111434569,Sean Perez,sean.perez@stonybrook.edu,Wednesday 10 AM-12 PM,Office A,318-742-9673x75664,2,119286812,David Middleton,david.middleton@stonybrook.edu,Friday 3-5 PM,Office C
206267518,POL 102,Introduction to American Government,3,8,9,3,24,6,6,6,12,10,13,7,9,10:17 PM,"Friday, Tuesday, Thursday",113388531,Christopher Cochran,christopher.cochran@stonybrook.edu,Friday 3-5 PM,Office A,676-931-7019,2,115179046,Amber Ruiz,amber.ruiz@stonybrook.edu,Friday 3-5 PM,Office A
206267518,POL 102,Introduction to American Government,3,8,9,3,24,6,6,6,12,10,13,7,9,10:17 PM,"Friday, Tuesday, Thursday",113388531,Christopher Cochran,christopher.cochran@stonybrook.edu,Friday 3-5 PM,Office A,676-931-7019,2,111307395,John Sparks,john.sparks@stonybrook.edu,Friday 3-5 PM,Office C
203974877,WRT 101,Introductory Writing Workshop,0,1,9,7,23,8,8,8,12,11,13,6,10,12:35 PM,"Tuesday, Monday, Wednesday",117620798,Ryan Davis,ryan.davis@stonybrook.edu,Monday 2-4 PM,Office B,399-258-3048,3,118408983,Joshua Chambers,joshua.chambers@stonybrook.edu,Monday 2-4 PM,Office A
203974877,WRT 101,Introductory Writing Workshop,0,1,9,7,23,8,8,8,12,11,13,6,10,12:35 PM,"Tuesday, Monday, Wednesday",117620798,Ryan Davis,ryan.davis@stonybrook.edu,Monday 2-4 PM,Office B,399-258-3048,3,114100345,Gwendolyn Lee,gwendolyn.lee@stonybrook.edu,Wednesday 10 AM-12 PM,Office B
203974877,WRT 101,Introductory Writing Workshop,0,1,9,7,23,8,8,8,12,11,13,6,10,12:35 PM,"Tuesday, Monday, Wednesday",117620798,Ryan Davis,ryan.davis@stonybrook.edu,Monday 2-4 PM,Office B,399-258-3048,3,113946441,Amy Galvan,amy.galvan@stonybrook.edu,Monday 2-4 PM,Office A
205287616,WRT 102,Intermediate Writing Workshop,10,8,7,2,20,6,6,6,12,13,10,5,6,08:13 AM,"Wednesday, Tuesday, Monday",115649492,Michael Cantu,michael.cantu@stonybrook.edu,Wednesday 10 AM-12 PM,Office B,447-471-1600,1,119082303,Michael Lewis,michael.lewis@stonybrook.edu,Friday 3-5 PM,Office C
204139685,CSE 114,Introduction to Object-Oriented Programming,2,2,1,5,16,10,10,10,15,14,15,10,9,05:58 AM,"Thursday, Tuesday, Friday",112678302,Jerry Clark,jerry.clark@stonybrook.edu,Wednesday 10 AM-12 PM,Office C,001-893-579-1465x43524,1,113856486,Anthony Hebert,anthony.hebert@stonybrook.edu,Wednesday 10 AM-12 PM,Office C
201587870,CSE 115,Introduction to Programming in C,3,6,1,6,25,6,6,6,15,15,11,7,5,08:20 AM,"Thursday, Monday, Wednesday",111978522,Karen Mendoza,karen.mendoza@stonybrook.edu,Wednesday 10 AM-12 PM,Office C,+1-694-485-8851x917,2,112200998,Michael Taylor,michael.taylor@stonybrook.edu,Friday 3-5 PM,Office B
201587870,CSE 115,Introduction to Programming in C,3,6,1,6,25,6,6,6,15,15,11,7,5,08:20 AM,"Thursday, Monday, Wednesday",111978522,Karen Mendoza,karen.mendoza@stonybrook.edu,Wednesday 10 AM-12 PM,Office C,+1-694-485-8851x917,2,113495378,James Sims,james.sims@stonybrook.edu,Wednesday 10 AM-12 PM,Office A
205649011,CSE 214,Data Structures,5,7,7,0,21,7,7,7,14,10,15,9,6,02:03 PM,"Tuesday, Monday, Friday",116779022,Barry Velez,barry.velez@stonybrook.edu,Monday 2-4 PM,Office A,(787)407-6605,5,115131143,Steven Brooks,steven.brooks@stonybrook.edu,Monday 2-4 PM,Office C
205649011,CSE 214,Data Structures,5,7,7,0,21,7,7,7,14,10,15,9,6,02:03 PM,"Tuesday, Monday, Friday",116779022,Barry Velez,barry.velez@stonybrook.edu,Monday 2-4 PM,Office A,(787)407-6605,5,114993770,Susan Cole,susan.cole@stonybrook.edu,Friday 3-5 PM,Office A
