class_id,class_name,course_title,attendance,participation,recitation,presentation,project,midterm1,midterm2,midterm3,finals,assignments,quizzes,assignments_count,quizzes_count,class_time,class_days,lecturer_id,lecturer_name,lecturer_email,lecturer_office_hours,lecturer_office,lecturer_phone,ta_count,ta_id,ta_name,ta_email,ta_office_hours,ta_office
206304981,POL 101,World Politics,6,10,5,1,1,6,0,5,30,16,20,7,10,03:10 AM,"Tuesday, Friday, Wednesday",118533027,Linda Novak,linda.novak@stonybrook.edu,Friday 3-5 PM,Office B,(620)749-1378x9387,5,112533313,Benjamin Ritter,benjamin.ritter@stonybrook.edu,Wednesday 10 AM-12 PM,Office B
206304981,POL 101,World Politics,6,10,5,1,1,6,0,5,30,16,20,7,10,03:10 AM,"Tuesday, Friday, Wednesday",118533027,Linda Novak,linda.novak@stonybrook.edu,Friday 3-5 PM,Office B,(620)749-1378x9387,5,113666118,Lisa Williams,lisa.williams@stonybrook.edu,Wednesday 10 AM-12 PM,Office C
206304981,POL 101,World Politics,6,10,5,1,1,6,0,5,30,16,20,7,10,03:10 AM,"Tuesday, Friday, Wednesday",118533027,Linda Novak,linda.novak@stonybrook.edu,Friday 3-5 PM,Office B,(620)749-1378x9387,5,114232478,Matthew Mcknight,matthew.mcknight@stonybrook.edu,Friday 3-5 PM,Office B
206304981,POL 101,World Politics,6,10,5,1,1,6,0,5,30,16,20,7,10,03:10 AM,"Tuesday, Friday, Wednesday",118533027,Linda Novak,linda.novak@stonybrook.edu,Friday 3-5 PM,Office B,(620)749-1378x9387,5,117557583,Robin Gibson,robin.gibson@stonybrook.edu,Monday 2-4 PM,Office A
206304981,POL 101,World Politics,6,10,5,1,1,6,0,5,30,16,20,7,10,03:10 AM,"Tuesday, Friday, Wednesday",118533027,Linda Novak,linda.novak@stonybrook.edu,Friday 3-5 PM,Office B,(620)749-1378x9387,5,116909070,Christine Boyd,christine.boyd@stonybrook.edu,Friday 3-5 PM,Office A
202960353,POL 102,Introduction to American Government,4,0,1,4,9,7,6,6,27,17,19,8,6,08:19 PM,"Friday, Monday, Wednesday",112511376,Sarah Crawford,sarah.crawford@stonybrook.edu,Monday 2-4 PM,Office C,001-488-210-7406,5,117012177,Benjamin Patel,benjamin.patel@stonybrook.edu,Monday 2-4 PM,Office A
202960353,POL 102,Introduction to American Government,4,0,1,4,9,7,6,6,27,17,19,8,6,08:19 PM,"Friday, Monday, Wednesday",112511376,Sarah Crawford,sarah.crawford@stonybrook.edu,Monday 2-4 PM,Office C,001-488-210-7406,5,111488573,Marcus Hill,marcus.hill@stonybrook.edu,Wednesday 10 AM-12 PM,Office A
202960353,POL 102,Introduction to American Government,4,0,1,4,9,7,6,6,27,17,19,8,6,08:19 PM,"Friday, Monday, Wednesday",112511376,Sarah Crawford,sarah.crawford@stonybrook.edu,Monday 2-4 PM,Office C,001-488-210-7406,5,119856374,Dean Taylor,dean.taylor@stonybrook.edu,Monday 2-4 PM,Office B
202960353,POL 102,Introduction to American Government,4,0,1,4,9,7,6,6,27,17,19,8,6,08:19 PM,"Friday, Monday, Wednesday",112511376,Sarah Crawford,sarah.crawford@stonybrook.edu,Monday 2-4 PM,Office C,001-488-210-7406,5,117388255,Chelsea Vaughn,chelsea.vaughn@stonybrook.edu,Wednesday 10 AM-12 PM,Office C
202960353,POL 102,Introduction to American Government,4,0,1,4,9,7,6,6,27,17,19,8,6,08:19 PM,"Friday, Monday, Wednesday",112511376,Sarah Crawford,sarah.crawford@stonybrook.edu,Monday 2-4 PM,Office C,001-488-210-7406,5,118507825,William Griffith,william.griffith@stonybrook.edu,Wednesday 10 AM-12 PM,Office A
209038933,WRT 101,Introductory Writing Workshop,7,8,3,2,0,9,5,0,32,18,16,7,9,10:59 AM,"Thursday, Friday, Monday",114638555,Matthew Owens,matthew.owens@stonybrook.edu,Wednesday 10 AM-12 PM,Office C,001-819-372-5368,2,115591601,Hannah Harris,hannah.harris@stonybrook.edu,Wednesday 10 AM-12 PM,Office B
209038933,WRT 101,Introductory Writing Workshop,7,8,3,2,0,9,5,0,32,18,16,7,9,10:59 AM,"Thursday, Friday, Monday",114638555,Matthew Owens,matthew.owens@stonybrook.edu,Wednesday 10 AM-12 PM,Office C,001-819-372-5368,2,119213955,Richard Cummings,richard.cummings@stonybrook.edu,Friday 3-5 PM,Office C
