id,name,email,semester,course1,course2,course3,course4,course5
112814691,Tyler Nguyen,tyler.nguyen@stonybrook.edu,Spring 2023,AMS 310,EST 300,ESS 310,CSE 327,CSE 220
112814691,Tyler Nguyen,tyler.nguyen@stonybrook.edu,Fall 2022,FLM 102,WRT 102,EST 220,CSE 310,ISE 373
112814691,Tyler Nguyen,tyler.nguyen@stonybrook.edu,Spring 2022,EST 216,CSE 115,CSE 416,POL 102,AMS 355
114240549,Angela Robertson,angela.robertson@stonybrook.edu,Spring 2023,EST 220,WRT 101,AMS 301,CSE 303,CSE 320
114240549,Angela Robertson,angela.robertson@stonybrook.edu,Fall 2022,POL 101,AMS 301,AMS 310,EST 316,ESS 310
114240549,Angela Robertson,angela.robertson@stonybrook.edu,Spring 2022,FLM 101,CSE 303,CSE 327,POL 101,CSE 220
113126138,Ryan Williams,ryan.williams@stonybrook.edu,Spring 2023,WRT 101,AMS 355,CSE 416,AMS 161,EST 316
113126138,Ryan Williams,ryan.williams@stonybrook.edu,Fall 2022,ISE 373,EST 300,CSE 310,CSE 220,CSE 214
113126138,Ryan Williams,ryan.williams@stonybrook.edu,Spring 2022,CSE 316,AMS 310,AMS 355,AMS 210,EST 300
117422212,Hannah Johnson,hannah.johnson@stonybrook.edu,Spring 2023,FLM 102,EST 316,CSE 101,CSE 214,EST 216
117422212,Hannah Johnson,hannah.johnson@stonybrook.edu,Fall 2022,CSE 220,AMS 310,AMS 355,CSE 114,CSE 115
117422212,Hannah Johnson,hannah.johnson@stonybrook.edu,Spring 2022,CSE 310,EST 216,EST 216,CSE 220,EST 214
119374678,Shannon Garza,shannon.garza@stonybrook.edu,Spring 2023,AMS 151,WRT 102,EST 220,EST 316,CSE 337
119374678,Shannon Garza,shannon.garza@stonybrook.edu,Fall 2022,WAE 146,CSE 416,CSE 327,AMS 355,AMS 301
119374678,Shannon Garza,shannon.garza@stonybrook.edu,Spring 2022,CSE 214,AMS 210,WAE 146,CSE 373,CSE 303
111629791,Christopher Cortez,christopher.cortez@stonybrook.edu,Spring 2023,EST 216,AMS 301,CSE 216,CSE 337,FLM 101
111629791,Christopher Cortez,christopher.cortez@stonybrook.edu,Fall 2022,AMS 310,SOC 102,CSE 316,CSE 216,WAE 146
111629791,Christopher Cortez,christopher.cortez@stonybrook.edu,Spring 2022,CSE 114,AMS 210,AMS 301,SOC 102,CSE 373
115231699,Melanie Garcia,melanie.garcia@stonybrook.edu,Spring 2023,CSE 327,ESS 131,CSE 220,AMS 151,CSE 115
115231699,Melanie Garcia,melanie.garcia@stonybrook.edu,Fall 2022,AMS 355,CSE 310,WRT 101,CSE 303,POL 102
115231699,Melanie Garcia,melanie.garcia@stonybrook.edu,Spring 2022,AMS 210,CSE 220,ISE 373,CSE 373,AMS 161
117326212,Christian Ross,christian.ross@stonybrook.edu,Spring 2023,SOC 101,CSE 220,AMS 355,CSE 320,WRT 101
117326212,Christian Ross,christian.ross@stonybrook.edu,Fall 2022,CSE 220,CSE 216,AMS 151,CSE 327,ISE 327
117326212,Christian Ross,christian.ross@stonybrook.edu,Spring 2022,CSE 327,AMS 301,CSE 320,EST 214,SOC 101
114655950,Michael Morgan,michael.morgan@stonybrook.edu,Spring 2023,EST 216,CSE 416,EST 316,CSE 373,FLM 102
114655950,Michael Morgan,michael.morgan@stonybrook.edu,Fall 2022,ISE 373,EST 316,ISE 327,POL 102,SOC 101
114655950,Michael Morgan,michael.morgan@stonybrook.edu,Spring 2022,FLM 101,WAE 146,CSE 320,EST 220,WRT 102
114821542,Mary Brown,mary.brown@stonybrook.edu,Spring 2023,WRT 101,ESS 310,CSE 216,AMS 355,POL 102
114821542,Mary Brown,mary.brown@stonybrook.edu,Fall 2022,WRT 102,AMS 151,EST 316,EST 214,CSE 115
114821542,Mary Brown,mary.brown@stonybrook.edu,Spring 2022,SOC 101,EST 316,EST 216,AMS 161,WRT 101
119386578,Julie Reese,julie.reese@stonybrook.edu,Spring 2023,SOC 102,CSE 114,FLM 101,CSE 115,AMS 355
